,,,,,,,,,,,
,No,,,Requirement,Rubric Description,Instructions,,Rubrics are evaluated based on quality or % of completion.,,,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,1201,TECH,Graphics and Art Pipeline,Critical,Graphical content can be displayed,"It will fail if after running your simulation/game, we can't see anything drawn in the viewport. 
Logging data to the console window does not count here!",Kat Long & Yu Wei,Untested,Untested,,
,1202,TECH,Graphics and Art Pipeline,Required,Debug drawing capability is demonstrated,"This rubric will fail if the Graphics system can't draw points, lines, rectangles or circles. These geometric drawings use no textures. They are mainly used to draw debugging information. 
For example, 
-you can draw the hotspots collision data (if you have any), 
-you can draw the AABB collision box on top of your sprite game object (if you have any), 
-you can draw circle collision data (if you have any), 
-you can draw the velocity direction while the game object is moving (if you have any), 
-you can draw the grid of your collision map (if you have any), etc...
Important Note: Do not assume that this will be the wireframe drawing mode as ""Polygon drawing"" mode (mesh drawing mode). And the reason is, your mesh is not always of the same scale as your AABB collision size. For example: You must think and expect that your game object might have a collision AABB (min, max) smaller or bigger than your original mesh scale. Sometimes, you may want to put the AABB collision only at the feet or the head of your character.",Kat Long & Yu Wei,Untested,Untested,,
,1203,TECH,Graphics and Art Pipeline,Basic,Basic sprites/models can be displayed,"At least, your game objects meshes must be displayed in colour mode.",Kat Long & Yu Wei,Untested,Untested,,
,1204,TECH,Graphics and Art Pipeline,Basic,Basic background/terrain can be displayed,"At least, your game can display a background (picture) (or layer) (or game object) (or tilemap).",Kat Long & Yu Wei,Untested,Untested,,
,1205,TECH,Graphics and Art Pipeline,Basic,2D: Sprites can be scaled dynamically,"Your game object can be scaled at runtime (for example by using keyboard user input).
Cite the input keys usage under ""Provide explanation"".",Kat Long & Yu Wei,Untested,Untested,,
,1206,TECH,Graphics and Art Pipeline,Basic,2D: Sprites can be rotated dynamically,"Your game object can be rotated at runtime (for example by using keyboard user input).
Cite the input keys usage under ""Provide explanation"".",Kat Long & Yu Wei,Untested,Untested,,
,1207,TECH,Graphics and Art Pipeline,Advanced,Basic animations displayed (sequence of frames),Your game object can play 1 sequence of multiple frames: That forms an animation.,Kat Long & Yu Wei,Untested,Untested,,
,1208,TECH,Graphics and Art Pipeline,Advanced,Multiple animations are shown on one object,"i.e. the main character can change from IDLE animation to JUMP animation at runtime, back and forth (for example by using user keyboard input).
This must be actually proven in the submitted demo. Cite the input keys usage under ""Provide explanation"".",Kat Long & Yu Wei,Untested,Untested,,
,1209,TECH,Graphics and Art Pipeline,Advanced,"ADVANCED: Can render 2500 game objects, or more, at different locations, with minimum 60 FPS","Must prove this in your engine demo. All objects must be seen in the viewport. This rubric can't be partially passed. It must be ready to showcase before the delivery deadline. Do explain how to use and run it, in the ""Provide explanation""!",Kat Long & Yu Wei,Untested,Untested,,
,1210,TECH,Graphics and Art Pipeline,Exceptional,Able to display text objects using proper custom font system,"e.g. Using the FreeType font library.
Can display at least 2 different text objects (2 different instances) at different locations in the viewport.
This rubirc will be set to missing if the instructor does not see 2 text objects at runtime.",Kat Long & Yu Wei,Untested,Untested,,
,,,,,,,,,,,
,DEBUGGING TOOLS,,,,,COMPULSORY RUBRICS FOR EVERY TEAM,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,1301,TECH,Debugging Tools,Critical,Debugging tools is available,"Engine must have a way to display debugging information. Tools are used to help the programmers visualize information on the game screen. 
e.g. Win32 console to print out information.",Poh heng,Untested,Untested,,
,1302,TECH,Debugging Tools,Basic,Performance data is available,"At least you should be able to display/showcase the FPS of the simulation, at runtime.
The FPS can be displayed, using a font or in the window's title bar, or in the console or using a GUI library. 
Explain how to check this under ""Provide explanation"".",Poh heng,Untested,Untested,,
,1303,TECH,Debugging Tools,Advanced,In-game performance viewer,"Able to display each system’s time consumption per game loop, in %, compared to the overall game loop time. 
Think about it as if you have individual delta-time for each system in your engine. 
An example of this output can be:
-Physics system 5% of the total game loop time
-Graphics system 30% of the total game loop time
-...
Having this kind pf performance visualizer will enable the tech people to identify bottle necks e.g. which system is consuming the most of your game loop time.
Explain how to test this under ""Provide explanation"".",,Untested,Untested,,
,1304,TECH,Debugging Tools,Advanced,Logging your crashes,"Your program is able to log a crash onto a text file, at any time your game may crashes. You can use safe wrappers like custom smart pointers and/or ""try-catch"" with ""exception safety"".
Explain the usage and how the instructor can test this rubric, under ""Provide explanation"". If no clear explanation is provided, the rubric will be set to missing!",Daniel,Untested,Untested,,
,1305,TECH,Debugging Tools,Advanced,"ADVANCED: Extensive and powerful debug console/UI features. This is mainly if you are using a GUI library e.g. IMGui, to generate level data, or to display and construct a level, or to display debug information as simple as using the IMGui text console for logging info.","Students are not supposed to have a level editor at this stage. The following rubrics are advanced and for extra credits purpose, in case the team had progressed fast in the core engine dev!
This rubric is passed if you can integrate IMGui (or a similar library) into your engine and show that you can render different custom GUI in your application.
Specify how to turn on/off and test your GUI under ""Provide explanation"".",,Untested,Untested,,
,1306,TECH,Debugging Tools,Advanced,IMGui Usage: Able to add/remove game objects in the editor.,Using the GUI editor. Explain usage!,Everyone,Untested,Untested,,
,,,,,,,,,,,
,PHYSICS AND COLLISION,,,,,POSSIBLE TO WAIVE IF YOUR GAME REQUIRES NO PHYSICS. CONSULT ELIE.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,1401,TECH,Physics and Collision,Critical,Movement is present.,"If your game mechanics/ game genre uses physics, you must intergate the physics formula(s) under a proper physics system. Physics can be at least similar to what you've learned in the CS230/CSD1130 module.
To pass this rubric, you need to prove it in your visual demo/simulation/game. Specify how to use your physics under ""Provide explanation"".",Daniel,Untested,Untested,,
,1402,TECH,Physics and Collision,Required,Collision detection is present.,"If your game mechanics/ game genre, uses collision, you must intergate the collision formula(s) under a proper collision or physics system. Collisions can be at least similar to what you've learned in the CS230/CSD1130 module. To pass this rubric, you need to prove it in your demo/simulation/game. Specify how to use your collision detections under ""Provide explanation"".",Daniel,Untested,Untested,,
,1403,TECH,Physics and Collision,Basic,The main character controller is working with Physics,"You can showcase your main character using your Physics functionalities. e.g. if your original game design is a platformer, your main character should be able to jump with Gravity. Specify how to move your main character under ""Provide explanation"".",Daniel,Untested,Untested,,
,1404,TECH,Physics and Collision,Advanced,Basic dynamic vs. static collision response,"On collision, the game object stops or bounces or slides on the surface.",Daniel,Untested,Untested,,
,1405,TECH,Physics and Collision,Advanced,Basic dynamic vs. dynamic collision response,"On collision, both game objects stop or bounce or slide on the surface.",Daniel,Untested,Untested,,
,1406,TECH,Physics and Collision,Advanced,ADVANCED: Physics can apply step by step visual update based on input. Serves for debugging the Physics,"This can be done as follow: Can have a Step_By_Step Physics mode, where at each key press, the Physics will update only once, in the current game loop.
Specify usage under ""Provide explanation"".",,Untested,Untested,,
,,,,,,,,,,,
,(UXGD) CONCEPT DOCUMENT,,,,,Your team has UXGD. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,2101,DESIGN-UXGD,(UXGD) Concept Document,Critical,"The Game Concept document contains the necessary basic information that describes the core gameplay mechanics, objective/ goal, theme, genre, game loop, level/ progression design and game references. ","The game concept document should not exceed 15 pages, excluding the Cover, TOC, and Appendices. Please note that you should continuously update this document, and there will be a final submission at M6.",,Untested,Untested,,
,2102,DESIGN-UXGD,(UXGD) Concept Document,Basic,The Game Concept document is decently written and contains sufficient information to allow readers to understand what the game is about.,"Any unclear parts in the core gameplay mechanics, objective/ goal, theme, genre, game loop, basic level/ progression design and game references may result in a penalty.",,Untested,Untested,,
,2103,DESIGN-UXGD,(UXGD) Concept Document,Basic,The Game Concept document includes a Feature Design section which considers the technical feasibility and available resources. This must be evaluated with the tech team's help and match the needs of the game design. ,"Technical feasibility can be evaluated with a list of required/planned features in the custom engine, like tile maps, physics, collision, level/ dialogue editor, enemy AI, etc.",,Untested,Untested,,
,2104,DESIGN-UXGD,(UXGD) Concept Document,Advanced,"[Game Features]
All game systems, features and mechanics support each other well.","Example: If killing an enemy drops resources, what is the use of the resources in the game? There should not be any system, feature or mechanic with no purpose in the game design.",,Untested,Untested,,
,2105,DESIGN-UXGD,(UXGD) Concept Document,Advanced,"[Presentation, Clarity and Organization]
The overall quality of the writing and presentation is clear and concise, with neat formatting and appropriate use of visuals to support the explanation.","This can include an adequate amount of diagrams, images, references, and tables that enhance the explanation of the game concept. The overall quality will be evaluated. Inserting a few images does not automatically mean you have completed the rubric. ",,Untested,Untested,,
,2106,DESIGN-UXGD,(UXGD) Concept Document,Advanced,"[Additional Information]
The Game Concept document includes additional quality information that further enhances the readers' understanding of the game concept.",Rubrics 2101 and 2102 must be completed first to complete this rubric. Anything not listed in Rubric 2101 can be considered. Please list down what are the additional information in the explanation. The quality of the information will be evaluated.,,Untested,Untested,,
,2107,DESIGN-UXGD,(UXGD) Concept Document,Advanced,"[Unique Selling Proposition]
The Game Concept document clearly explains what differentiates it from existing games of the same genre or category. It highlights innovative approaches or novel ideas not found in most games.","This can include distinctive gameplay mechanics, features, engaging storytelling, or interactions that provide a unique player experience.",,Untested,Untested,,
,2108,DESIGN-UXGD,(UXGD) Concept Document,Advanced,"[Planning]
The Game Concept document shows good foresight in its planning, and breakdown of tasks, and is well within Project 2's scope, adaptable to changes.","Do consider must-have features, good-to-have and their implementation priority. You can insert a screenshot of the timeline in Notion.",,Untested,Untested,,
,,,,,,,,,,,
,(UXGD) GAME PROTOTYPE,,,,,Your team has UXGD. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,2201,DESIGN-UXGD,(UXGD) Game Prototype,Required,The M1 Prototype has implemented and accurately reflected the core gameplay mechanics described in the Game Concept document.,You can use any commercial Game engine to create the Prototype.,,Untested,Untested,,
,2202,DESIGN-UXGD,(UXGD) Game Prototype,Basic,The M1 Prototype is playable without critical crashes or bugs.,Include a Readme document in the submission that describes all the operational controls and instructions on how to play and lists all playable features available in the Prototype. Incomplete or partially completed features can also be listed; please indicate accordingly.,,Untested,Untested,,
,2203,DESIGN-UXGD,(UXGD) Game Prototype,Advanced,The M1 Prototype has functional controls and sufficient in-game feedback for players to understand what is happening at that moment.,"Feedback can include characters responding well to the controls, HUD displaying critical information, on-hit visuals, audio SFX etc. The quality of the feedback will be evaluated.",,Untested,Untested,,
,2204,DESIGN-UXGD,(UXGD) Game Prototype,Exceptional,The M1 Prototype demonstrates strong signs of the game's unique selling proposition even if the game is incomplete.,"This can be a unique theme, unique mechanics/ gameplay, a new unique idea that excites players, a scalable game system, etc.",,Untested,Untested,,
,,,,,,,,,,,
,(NON-UXGD) GAME CONCEPT,,,,,Your team has UXGD. Please waive these rubrics.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,3101,DESIGN,(NON-UXGD) Game Concept,Critical,"The Game Concept document contains the necessary basic information that describes the core gameplay mechanics, objective/ goal, theme, genre, game loop, level/ progression design and game references. ","The game concept document should not exceed 15 pages, excluding the Cover, TOC, and Appendices. Please note that you should continuously update this document, and there will be a final submission at M6.",,Untested,Untested,,
,3102,DESIGN,(NON-UXGD) Game Concept,Basic,The Game Concept document contains sufficient information to allow readers to understand what the game is about.,"Any unclear parts in the core gameplay mechanics, objective/ goal, theme, genre, game loop, basic level/ progression design and game references may result in a penalty.",,Untested,Untested,,
,3103,DESIGN,(NON-UXGD) Game Concept,Basic,The Game Concept document includes a Feature Design section which considers the technical feasibility and available resources. This must be evaluated with the tech team's help and match the needs of the game design. ,"Technical feasibility can be evaluated with a list of required/planned features in the custom engine, like tile maps, physics, collision, level/ dialogue editor, enemy AI, etc. ",,Untested,Untested,,
,3104,DESIGN,(NON-UXGD) Game Concept,Advanced,"[Game Features]
All game systems, features and mechanics support each other well.","Example: If killing an enemy drops resources, what is the use of the resources in the game? There should not be any system, feature or mechanic with no purpose in the game design.",,Untested,Untested,,
,3105,DESIGN,(NON-UXGD) Game Concept,Advanced,"[Presentation, Clarity and Organization]
The overall quality of the writing and presentation is clear and concise, with neat formatting and appropriate use of visuals to support the explanation.","This can include an adequate amount of diagrams, images, references, and tables that enhance the explanation of the game concept. The overall quality will be evaluated. For example, inserting a few images doesn't mean you have completed the rubrics. ",,Untested,Untested,,
,3106,DESIGN,(NON-UXGD) Game Concept,Advanced,"[Additional Information]
The Game Concept document includes additional quality information that further enhances the readers' understanding of the game concept.",Rubrics 2101 and 2102 must be completed first to complete this rubric. Anything not listed in Rubric 2101 can be considered. Please list down what are the additional information in the explanation. The quality of the information will be evaluated.,,Untested,Untested,,
,3107,DESIGN,(NON-UXGD) Game Concept,Advanced,"[Unique Selling Proposition]
The Game Concept document clearly explains what differentiates it from existing games of the same genre or category. It highlights innovative approaches or novel ideas not found in most games.","This can include distinctive gameplay mechanics, features, engaging storytelling, or interactions that provide a unique player experience.",,Untested,Untested,,
,3108,DESIGN,(NON-UXGD) Game Concept,Advanced,"[Planning]
The Game Concept document shows good foresight in its planning, and breakdown of tasks, and is well within Project 2's scope, adaptable to changes.","Do consider must-have features, good-to-have and their implementation priority. You can insert a screenshot of the timeline in Notion.",,Untested,Untested,,
,,,,,,,,,,,
,(NON-UXGD) GAME PROTOTYPE,,,,,Your team has UXGD. Please waive these rubrics.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,3201,DESIGN,(Non-UXGD) Game Prototype,Advanced,The M1 Prototype has implemented and accurately reflected the core gameplay mechanics described in the Game Concept document and is playable without critical crashes or bugs. The M1 Prototype also has basic functional controls.,You can use any commercial Game engine or Custom Engine to create the Prototype. Include a Redme document in the submission that describes all the operational controls and instructions on how to play and lists all playable features available in the Prototype. Incomplete or partially completed features can also be listed; please indicate accordingly.,,Untested,Untested,,
,3202,DESIGN,(Non-UXGD) Game Prototype,Exceptional,The M1 Prototype has demonstrated strong signs of the game's unique selling proposition even if the game is incomplete.,"This can be a unique theme, unique mechanics/ gameplay, a new unique idea that excites players, a scalable game system, etc.",,Untested,Untested,,
,,,,,,,,,,,
,ART PROOF OF CONCEPT,,,,,Your team has BFA. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,4101,ART-BFA,Art Proof of Concept,Critical,Submit Proof of Concept (POC) in PDF format,Refer to ART Proof of Concept (POC) Submission Guidelines. (uploaded to BFA moodle page),,Untested,Untested,,
,4102,ART-BFA,Art Proof of Concept,Required,"Overall presentation are put together with decent page layout and design, consistency and organization of materials, and no missing materials",Refer to the Submission Guidelines for checklist.,,Untested,Untested,,
,4103,ART-BFA,Art Proof of Concept,Required,2 mock-up game screens required.  Main menu and In-game screen mock-ups,"Mock-up screens that are poorly put together and/or missing cruical assets/information will be penalised here. While these mock-up screens are subjected to change as the project progresses, these mock-ups screens should give a clear indication of the overall art direction and gameplay.",,Untested,Untested,,
,4104,ART-BFA,Art Proof of Concept,Basic,"Description of Game concepts, character(s), environment(s), props (if any), UI and any other relevant information clearly presented. ",Vague or missing write-ups will be penalised here.,,Untested,Untested,,
,4105,ART-BFA,Art Proof of Concept,Advanced,"Proof of Concept materials are professionally put together. Clear presentation of Game concepts,  Description of art assets, Art direction, Style guide, characters, environments, props, UI elements, VFX designs (if any) and Mockup screens","Art assets created are of good quality. Effort is put into the POC document. Evident in the materials presented. Time and effort are clearly spent on assets. eg. page layout designs, cover page, mockup screens, content page, write-ups etc. Overall good asethetics. ",,Untested,Untested,,
,4106,ART-BFA,Art Proof of Concept,Extra,Additional Mockup Screens Pre-req of [4103] required.,"Additional mock-up screens are presented to better showcase or explain the gameplay mechanics.  Crucial Art assets (eg, characters, env, UI etc) are in. Overall art direction is consistent and aesthetically pleasing.",,Untested,Untested,,
,,,,,,,,,,,
,CONCEPTS - CHARACTERS,,,,,Your team has BFA. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,4201,ART-BFA,Concepts - Characters,Critical,Conceptual Design works done for Characters. Sufficient concept designs and research done for characters.,Poor character designs or insufficient effort put into research and work will be penalised here. Curate your best conceptual art and put them into the POC. Research materials and work done that are not presented in POC should be featured and explained in your IMR.,,Untested,Untested,,
,4202,ART-BFA,Concepts - Characters,Required,Main characters design completed. Designs look decent and should showcase your understanding of anatomy. Good draftsmanship of work is expected.,"Your main character and 1 enemy (or NPC) should be completed.  Poor draftsmanship, consistency, and understanding of anatomy will be penalised here.",,Untested,Untested,,
,4203,ART-BFA,Concepts - Characters,Advanced,Appealing character designs. Consistency in terms of styles and art direction.,"Overall, appealing character designs and good draftsmanship. Designs suit the game concept well.",,Untested,Untested,,
,4204,ART-BFA,Concepts - Characters,Advanced,"Good presentation of character designs in the form of model sheet, and character studies (key poses, expression etc)",,,Untested,Untested,,
,4205,ART-BFA,Concepts - Characters,Exceptional,Overall excellent Draftsmanship and consistency in the creation of Characters. Professional work. Great effort all around!,This is a bonus for professional high quality works. ,,Untested,Untested,,
,,,,,,,,,,,
,"CONCEPTS - ENVIRONMENT, PROPS & VFX",,,,,Your team has BFA. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,4301,ART-BFA,"Concepts - Environment, Props & VFX",Critical,"Concept designs and research  done for Environment, props and VFX (if any)",Poor designs or insufficient effort put into research and work will be penalised here. Curate your best conceptual art and put them into the POC. Research materials and work done that are not presented in POC should be featured and explained in your IMR.,,Untested,Untested,,
,4302,ART-BFA,"Concepts - Environment, Props & VFX",Required,"Key Environment, props and VFX (if any) decently designed.  Good draftsmanship of work is expected. ","Key environment (props and VFX if applicable) clearly designed, rendered and presented. Badly designed environment and/or assets or work doen wth poor draftsmanship will be penalised here. ",,Untested,Untested,,
,4303,ART-BFA,"Concepts - Environment, Props & VFX",Advanced,2 or more environment created with good draftsmanship. ,This is a bonus rubrics. Create 2 or more environment ONLY if  it is applicable to your game. ,,Untested,Untested,,
,4304,ART-BFA,"Concepts - Environment, Props & VFX",Advanced,Good amount of research and conceptual design works done before locking down the final designs. The environment art (props and VFX if applicable) is appealing and blends well with characters and UI elements.,Curate your best conceptual art and put them into the POC. Research materials and work done that are not presented in POC should be featured and explained in your IMR.,,Untested,Untested,,
,4305,ART-BFA,"Concepts - Environment, Props & VFX",Exceptional,"Overall excellent Draftsmanship and consistency in creating Environment art, props and VFX (if any). Professional work. Great effort all around!",This is a bonus for professional high quality works. ,,Untested,Untested,,
,,,,,,,,,,,
,CONCEPTS - UI DESIGN,,,,,Your team has BFA. Do not leave any rubric 'Untested'.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,4401,ART-BFA,Concepts - UI Design,Required,The submission has basic concept design or sufficient concept designs and research done for UI designs,Curate your best conceptual art and put them into the POC. Research materials and work done that are not presented in POC should be featured and explained in your IMR.,,Untested,Untested,,
,4402,ART-BFA,Concepts - UI Design,Required,All designs and art are consistent with each other and/or work well with each other. UI gel with one another and synergise with the game concepts in terms of functionality.,,,Untested,Untested,,
,4403,ART-BFA,Concepts - UI Design,Basic,"Basic UI design, typography and logo designs are explored. Brand identity of the team and game are well represented. Clarity of UI Elements (eg. HUD)",,,Untested,Untested,,
,4404,ART-BFA,Concepts - UI Design,Advanced,Work done with good draftsmanship. Appealing designs and suit the game.,Bonus for good quality work done.,,Untested,Untested,,
,,,,,,,,,,,
,(NON-BFA) ART PROOF OF CONCEPT,,,,,Your team has BFA. Please waive these rubrics.,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,Provide explanation,Student Input,Teacher Input,Teacher Comments,
,5101,ART,(NON-BFA) Art Proof of Concept,Required,Submit [Non-BFA Art Proof of Concept] document in PDF format. ,Maximum of 10 pages excluding the cover page and TOC. Suggest using PowerPoint.,,Untested,Untested,,
,5102,ART,(NON-BFA) Art Proof of Concept,Basic,"The document must include art references or concept art for characters, sprites/ animations, NPCs, menus, environments, menu layouts, or HUD/UI items.  ","If your game has no characters (Tetris/ Match4/ Puzzle), demonstrate concepts for objects and elements instead. Please make sure to include links/ citations of the art references. You may use AI-generated art as references, but they cannot be used in the game. The quality of the document will be evaluated.",,Untested,Untested,,
,5103,ART,(NON-BFA) Art Proof of Concept,Advanced,"[Clarity and Organization]
The document is clear, organised, well-formatted and easy to understand.","The overall quality of visuals, descriptions, presentation, and supporting references will be evaluated.",,Untested,Untested,,
,5104,ART,(NON-BFA) Art Proof of Concept,Advanced,"[Art style guide] 
The document includes an art style guide which describes the visual direction, choice of fonts, colour palette, background, theme and mood board suits the proposed game concept.",The quality of the art style guide and presentation will be evaluated.,,Untested,Untested,,
,5105,ART,(NON-BFA) Art Proof of Concept,Advanced,"[Originality and Quality]
All art mockups and sketches are original, of decent quality, have strong visual appeal, show good varieties and are well-suited to the game's theme and genre.","Please indicate which art assets are created by the team. Art Assets may include sprites, animations, characters, environments, objects, UI, Menus etc. The quality of the art assets will be evaluated.",,Untested,Untested,,
,5106,ART,(NON-BFA) Art Proof of Concept,Exceptional,"[Uniqueness]
All art mockups, sketches, and directions have a consistent and unique style that fits the game's theme, mechanics, design and target audience.","Overall creativity, effort, and uniqueness of the art assets will be evaluated.",,Untested,Untested,,
,,,,,,,,,,,
,SUBMISSION,,,,,COMPULSORY RUBRICS FOR EVERY TEAM,,,,BACK TO TOP,
,No,Category,,Requirement,Rubric description,Teacher description,,Student Input,Teacher Input,Teacher Comments,
,6101,TEAM,Submission,Critical,The team has submitted all the required items as instructed by Instructors before the deadline.,"The production instructor will announce the submission requirements in Week 4. Do not open/ modify the files in the OneDrive folder after submission.
Above Average: < 6 hours late submission
Average: < 12 hours late submission
Minimal: < 24 hours late submission
Missing:  > 24 hours late submission.",,Waived,Untested,,
